source,sourceUrl,target,targetUrl
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,Carpenters,https://www.allmusic.com/artist/carpenters-mn0000051909
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,Cat Stevens,https://www.allmusic.com/artist/cat-stevens-mn0000198480
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,Colin Scot,https://www.allmusic.com/artist/colin-scot-mn0000536443
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,Cream,https://www.allmusic.com/artist/cream-mn0000112462
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,Crowded House,https://www.allmusic.com/artist/crowded-house-mn0000130173
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,Dwight Twilley,https://www.allmusic.com/artist/dwight-twilley-mn0000161572
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,Elton John,https://www.allmusic.com/artist/elton-john-mn0000796734
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,Emitt Rhodes,https://www.allmusic.com/artist/emitt-rhodes-mn0000800926
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,Flamin' Groovies,https://www.allmusic.com/artist/flamin-groovies-mn0000180263
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,Foo Fighters,https://www.allmusic.com/artist/foo-fighters-mn0000184043
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,Genesis,https://www.allmusic.com/artist/genesis-mn0000199995
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,HAIM,https://www.allmusic.com/artist/haim-mn0003051113
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,Jeff Lynne,https://www.allmusic.com/artist/jeff-lynne-mn0000228266
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,Jefferson Airplane,https://www.allmusic.com/artist/jefferson-airplane-mn0000840102
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,Jellyfish,https://www.allmusic.com/artist/jellyfish-mn0000319021
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,Jimi Hendrix,https://www.allmusic.com/artist/jimi-hendrix-mn0000354105
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,Jonathan Richman,https://www.allmusic.com/artist/jonathan-richman-mn0000266255
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,Judy Collins,https://www.allmusic.com/artist/judy-collins-mn0000294923
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,Love,https://www.allmusic.com/artist/love-mn0000314600
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,Matthew Sweet,https://www.allmusic.com/artist/matthew-sweet-mn0000387530
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,Moby Grape,https://www.allmusic.com/artist/moby-grape-mn0000569914
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,Peter & Gordon,https://www.allmusic.com/artist/peter-gordon-mn0000264860
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,Peter Frampton,https://www.allmusic.com/artist/peter-frampton-mn0000320845
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,Pink Floyd,https://www.allmusic.com/artist/pink-floyd-mn0000346336
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,Pixies,https://www.allmusic.com/artist/pixies-mn0000895136
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,Raphael Saadiq,https://www.allmusic.com/artist/raphael-saadiq-mn0000402249
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,Rick Springfield,https://www.allmusic.com/artist/rick-springfield-mn0000359613
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,Robyn Hitchcock,https://www.allmusic.com/artist/robyn-hitchcock-mn0000832524
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,Simon & Garfunkel,https://www.allmusic.com/artist/simon-garfunkel-mn0000038936
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,Sonny & Cher,https://www.allmusic.com/artist/sonny-cher-mn0000042993
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,Squeeze,https://www.allmusic.com/artist/squeeze-mn0000790732
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,Syd Barrett,https://www.allmusic.com/artist/syd-barrett-mn0000044874
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,T. Rex,https://www.allmusic.com/artist/t-rex-mn0000005882
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,The Association,https://www.allmusic.com/artist/the-association-mn0000753963
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,The Beau Brummels,https://www.allmusic.com/artist/the-beau-brummels-mn0000135032
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,The Cars,https://www.allmusic.com/artist/the-cars-mn0000061172
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,The dB's,https://www.allmusic.com/artist/the-dbs-mn0000489209
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,The Dukes of Stratosphear,https://www.allmusic.com/artist/the-dukes-of-stratosphear-mn0000142963
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,The Jam,https://www.allmusic.com/artist/the-jam-mn0000084053
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,The Knack,https://www.allmusic.com/artist/the-knack-mn0000087179
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,The La's,https://www.allmusic.com/artist/the-las-mn0000104455
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,The Left Banke,https://www.allmusic.com/artist/the-left-banke-mn0000771010
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,The London Souls,https://www.allmusic.com/artist/the-london-souls-mn0000993916
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,The Lovin' Spoonful,https://www.allmusic.com/artist/the-lovin-spoonful-mn0000052900
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,The Mamas & the Papas,https://www.allmusic.com/artist/the-mamas-the-papas-mn0000059293
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,The Move,https://www.allmusic.com/artist/the-move-mn0000483587
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,The Raspberries,https://www.allmusic.com/artist/the-raspberries-mn0000416245
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,The Residents,https://www.allmusic.com/artist/the-residents-mn0000420539
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,The Spongetones,https://www.allmusic.com/artist/the-spongetones-mn0000485869
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,The Stone Roses,https://www.allmusic.com/artist/the-stone-roses-mn0000564333
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,The Turtles,https://www.allmusic.com/artist/the-turtles-mn0000564239
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,The Who,https://www.allmusic.com/artist/the-who-mn0000577627
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,Tom Petty,https://www.allmusic.com/artist/tom-petty-mn0000612716
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,XTC,https://www.allmusic.com/artist/xtc-mn0000678339
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,Yes,https://www.allmusic.com/artist/yes-mn0000685647
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,ABBA,https://www.allmusic.com/artist/abba-mn0000922728
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,ABC,https://www.allmusic.com/artist/abc-mn0000574597
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,Alan Menken,https://www.allmusic.com/artist/alan-menken-mn0000508141
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,Ambrosia,https://www.allmusic.com/artist/ambrosia-mn0000019133
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,Argent,https://www.allmusic.com/artist/argent-mn0000593930
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,Aztec Camera,https://www.allmusic.com/artist/aztec-camera-mn0000759031
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,Bastille,https://www.allmusic.com/artist/bastille-mn0002825814
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,Bay City Rollers,https://www.allmusic.com/artist/bay-city-rollers-mn0000151979
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,Billy Squier,https://www.allmusic.com/artist/billy-squier-mn0000084814
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,Blue Öyster Cult,https://www.allmusic.com/artist/blue-%C3yster-cult-mn0000061938
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,Blur,https://www.allmusic.com/artist/blur-mn0000758444
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,Bread,https://www.allmusic.com/artist/bread-mn0000610706
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,Buffalo Springfield,https://www.allmusic.com/artist/buffalo-springfield-mn0000939567
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,Carwyn Ellis,https://www.allmusic.com/artist/carwyn-ellis-mn0000554770
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,Chad & Jeremy,https://www.allmusic.com/artist/chad-jeremy-mn0000799644
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,Coldplay,https://www.allmusic.com/artist/coldplay-mn0000775877
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,Elliott Smith,https://www.allmusic.com/artist/elliott-smith-mn0000172167
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,Emerson Lake & Palmer,https://www.allmusic.com/artist/emerson-lake-palmer-mn0000798992
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,Everything Everything,https://www.allmusic.com/artist/everything-everything-mn0002371422
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,Fleetwood Mac,https://www.allmusic.com/artist/fleetwood-mac-mn0000182900
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,Herman's Hermits,https://www.allmusic.com/artist/hermans-hermits-mn0000575051
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,Hüsker Dü,https://www.allmusic.com/artist/h%C3%BCsker-d%C3%BC-mn0000639053
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,Imagine Dragons,https://www.allmusic.com/artist/imagine-dragons-mn0002040645
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,Iron Butterfly,https://www.allmusic.com/artist/iron-butterfly-mn0000772567
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,James Taylor,https://www.allmusic.com/artist/james-taylor-mn0000204386
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,Jason Falkner,https://www.allmusic.com/artist/jason-falkner-mn0000217893
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,Joe Jackson,https://www.allmusic.com/artist/joe-jackson-mn0000784732
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,Juanes,https://www.allmusic.com/artist/juanes-mn0000245250
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,Led Zeppelin,https://www.allmusic.com/artist/led-zeppelin-mn0000139026
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,Lloyd Cole,https://www.allmusic.com/artist/lloyd-cole-mn0000229348
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,Manfred Mann,https://www.allmusic.com/artist/manfred-mann-mn0002285572
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,Marshall Crenshaw,https://www.allmusic.com/artist/marshall-crenshaw-mn0000853492
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,Mary Chapin Carpenter,https://www.allmusic.com/artist/mary-chapin-carpenter-mn0000858375
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,Mumford & Sons,https://www.allmusic.com/artist/mumford-sons-mn0001072350
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,Neutral Milk Hotel,https://www.allmusic.com/artist/neutral-milk-hotel-mn0000863102
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,Niall Horan,https://www.allmusic.com/artist/niall-horan-mn0002854547
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,Nick Lowe,https://www.allmusic.com/artist/nick-lowe-mn0000866841
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,Ovens,https://www.allmusic.com/artist/ovens-mn0004321281
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,Panic! At the Disco,https://www.allmusic.com/artist/panic%21-at-the-disco-mn0000318085
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,Prefab Sprout,https://www.allmusic.com/artist/prefab-sprout-mn0000300024
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,Procol Harum,https://www.allmusic.com/artist/procol-harum-mn0000304401
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,Queen,https://www.allmusic.com/artist/queen-mn0000858827
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,R. Stevie Moore,https://www.allmusic.com/artist/r-stevie-moore-mn0000384920
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,Rockpile,https://www.allmusic.com/artist/rockpile-mn0000243012
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,Steely Dan,https://www.allmusic.com/artist/steely-dan-mn0000011707
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,Supergrass,https://www.allmusic.com/artist/supergrass-mn0000031556
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,Supertramp,https://www.allmusic.com/artist/supertramp-mn0000033666
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,Teenage Fanclub,https://www.allmusic.com/artist/teenage-fanclub-mn0000015694
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,The Alan Parsons Project,https://www.allmusic.com/artist/the-alan-parsons-project-mn0001176481
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,The Apples in Stereo,https://www.allmusic.com/artist/the-apples-in-stereo-mn0000026023
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,The Brother Brothers,https://www.allmusic.com/artist/the-brother-brothers-mn0001546056
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,The Chameleons,https://www.allmusic.com/artist/the-chameleons-mn0001557918
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,The Church,https://www.allmusic.com/artist/the-church-mn0000764181
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,The Dream Academy,https://www.allmusic.com/artist/the-dream-academy-mn0000803513
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,The Feelies,https://www.allmusic.com/artist/the-feelies-mn0000762177
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,The Go-Go's,https://www.allmusic.com/artist/the-go-gos-mn0000766385
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,The Guess Who,https://www.allmusic.com/artist/the-guess-who-mn0000061480
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,The House of Love,https://www.allmusic.com/artist/the-house-of-love-mn0000080720
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,The Idle Race,https://www.allmusic.com/artist/the-idle-race-mn0000081981
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,The Iveys,https://www.allmusic.com/artist/the-iveys-mn0000082755
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,The Merry-Go-Round,https://www.allmusic.com/artist/the-merry-go-round-mn0000474208
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,The Nazz,https://www.allmusic.com/artist/the-nazz-mn0000377892
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,The Neon Philharmonic,https://www.allmusic.com/artist/the-neon-philharmonic-mn0000400322
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,The Nice,https://www.allmusic.com/artist/the-nice-mn0000481061
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,The Police,https://www.allmusic.com/artist/the-police-mn0000413524
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,The Posies,https://www.allmusic.com/artist/the-posies-mn0000490554
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,The Replacements,https://www.allmusic.com/artist/the-replacements-mn0000422405
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,The Smithereens,https://www.allmusic.com/artist/the-smithereens-mn0000898479
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,The Soft Boys,https://www.allmusic.com/artist/the-soft-boys-mn0000501802
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,The Three O'Clock,https://www.allmusic.com/artist/the-three-oclock-mn0000571806
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,Timothy Monger,https://www.allmusic.com/artist/timothy-monger-mn0000635997
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,Traffic,https://www.allmusic.com/artist/traffic-mn0000012472
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,Travis,https://www.allmusic.com/artist/travis-mn0000013508
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,U2,https://www.allmusic.com/artist/u2-mn0000219203
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,Utopia,https://www.allmusic.com/artist/utopia-mn0000837486
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,World Party,https://www.allmusic.com/artist/world-party-mn0000958768
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,Ari Roar,https://www.allmusic.com/artist/ari-roar-mn0003732622
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,Belle and Sebastian,https://www.allmusic.com/artist/belle-and-sebastian-mn0000153565
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,Cage the Elephant,https://www.allmusic.com/artist/cage-the-elephant-mn0001061166
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,Freddie & the Dreamers,https://www.allmusic.com/artist/freddie-the-dreamers-mn0000177558
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,George Michael,https://www.allmusic.com/artist/george-michael-mn0000545074
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,Grateful Dead,https://www.allmusic.com/artist/grateful-dead-mn0000988440
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,It's a Beautiful Day,https://www.allmusic.com/artist/its-a-beautiful-day-mn0000109012
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,Jackson Browne,https://www.allmusic.com/artist/jackson-browne-mn0000130689
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,Kansas,https://www.allmusic.com/artist/kansas-mn0000303626
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,Kate Bush,https://www.allmusic.com/artist/kate-bush-mn0000855423
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,King Crimson,https://www.allmusic.com/artist/king-crimson-mn0000076057
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,Lenny Kravitz,https://www.allmusic.com/artist/lenny-kravitz-mn0000200074
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,M. Ward,https://www.allmusic.com/artist/m-ward-mn0000217641
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,Marmalade,https://www.allmusic.com/artist/marmalade-mn0000334054
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,Michael Jackson,https://www.allmusic.com/artist/michael-jackson-mn0000467203
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,Mott the Hoople,https://www.allmusic.com/artist/mott-the-hoople-mn0000596126
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,Nirvana,https://www.allmusic.com/artist/nirvana-mn0000357406
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,One Direction,https://www.allmusic.com/artist/one-direction-mn0002766592
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,Patti LaBelle,https://www.allmusic.com/artist/patti-labelle-mn0000017748
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,Prince,https://www.allmusic.com/artist/prince-mn0000361393
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,Quicksilver Messenger Service,https://www.allmusic.com/artist/quicksilver-messenger-service-mn0000317417
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,Seal,https://www.allmusic.com/artist/seal-mn0000576718
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,Sebadoh,https://www.allmusic.com/artist/sebadoh-mn0000840523
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,Sloan,https://www.allmusic.com/artist/sloan-mn0000029978
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,Small Faces,https://www.allmusic.com/artist/small-faces-mn0000423267
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,Spirit,https://www.allmusic.com/artist/spirit-mn0000746010
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,Split Enz,https://www.allmusic.com/artist/split-enz-mn0000747757
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,Spoon,https://www.allmusic.com/artist/spoon-mn0000131038
